                                                  NAME    neg    neu    pos  \
50     0.9740  Y.K. Sabharwal, J. Leave granted. The question...      5  
51    -0.9999  ACT: Code of Criminal Procedure, 1973-Section,...      0  
52    -0.9999  CRIMINAL APPELLATE JURISDICTION : Criminal App...      0  
53    -0.9689  Hon. C.K. Thakker, J. The present appeal is fi...      0  
54    -1.0000  A.M. KHANWILKAR, J 1. These appeals have been ...      0  
55    -0.9999  The Judgment of the Court was delivered by S.M...      0  
56    -0.9987  DR. ARIJIT PASAYAT, J. 1. Challenge in this ap...      0  
57    -0.9999  Uday Umesh Lalit, J. These appeals by special ...      0  
58    -0.9999  Pinaki Chandra Ghose, J. 1. These appeals aris...      0  
59    -0.9971  SANJAY KISHAN KAUL, J. 1. An unfortunate incid...      0  
60    -0.9517  1 Leave granted. 2 This appeal is against an o...      0  
61    -0.9984  B. SUDERSHAN REDDY, J. 1. Leave granted. 2. Wh...      0  
62    -1.0000  DR. ANAND, J. The Executive Chairman, Legal Ai...      0  
63     0.9666  1. Leave granted. 2. The present Criminal Appe...      5  
64     0.8254  1. These Appeals are directed against the orde...      5  
65     0.9790  Leave granted. An FIR bearing No. 04/2017 has ...      5  
66    -1.0000  M. R. Shah, J. 1. Feeling aggrieved and dissat...      0  
67    -0.9995  Dr D Y CHANDRACHUD, J 1 This appeal arises fro...      0  
68    -0.9999  Dinesh Maheshwari, J. Preliminary 1. This appe...      0  
69    -0.9996  JUDGMENT 1996 SCR (5) SUPP 273 The Judgment of...      0  
70    -0.9999  R.M. LODHA, J. When the special leave petition...      0  
71    -0.9990  C.K. THAKKER, J. 1. The present appeal was fil...      0  
72    -0.8719  ORIGINAL JURISDICTION: Writ Petition No. 350 o...      1  
73    -0.9823  Leave granted. Heard learned counsel for the p...      0  
74     0.9974  The appellant herein, Sri Gurbaksh Singh Sibbi...      5  
75    -0.9999  CRIMINAL APPELLATE JURISDICTION : Criminal App...      0  
76    -0.9987  M.R. SHAH, J. 1. Feeling aggrieved and dissati...      0  
77    -0.3706  CRIMINAL APPEAL NO. 632 OF 2007 (@ Special Lea...      2  
78    -0.9995  Dr. B.S. CHAUHAN, J. 1. This reference before ...      0  
79    -0.9999  CRIMINAL APPELLATE JURISDICTION: Criminal Appe...      0  
80    -0.9979  1. Learned counsel submitted that no police re...      0  
81    -0.9998   J U D G M E N T CRIMINAL APPEAL NO. 624 OF 20...      0  
82    -0.9996   M.R. SHAH, J. 1. Leave granted. 2. Feeling ag...      0  
83     0.9869   ANIRUDDHA BOSE, J. Leave Granted 2. These two...      5  
84    -0.9825    Leave granted.    2.     The   instant   app...      0  
85     0.9913  SANJAY KISHAN KAUL, J. 1. Indra Devi, the appe...      5  
86    -0.9999   Dr. ARIJIT PASAYAT, J. 1. Leave granted. 2. C...      0  
87    -0.9975  JUDGMENT With Criminal Appeal No. 833 of 2002 ...      0  
88    -0.9997   J U D G M E N T R.C. LAHOTI, CJI Ashok Kumar ...      0  
89    -0.9999   Prafulla C. Pant, J. These appeals are direct...      0  
90    -0.9999   VIKRAM NATH, J. 1. By means of this appeal, t...      0  
91    -0.9995   Surya Kant, J: These Criminal Appeals, which ...      0  
92    -0.9996   Dr Dhananjaya Y Chandrachud, J 1 This batch o...      0  
93    -0.9996   AMITAVA ROY, J. The appellant stands sequenti...      0  
94     0.0400  Leave granted. The short point in this appeal,...      3  
95    -0.9999  Articles 19, 21 and l36 Criminal trials-Right ...      0  
96    -0.9829   Dr Dhananjaya Y Chandrachud, J This judgment ...      0  
97    -0.9791  Heard learned counsel for the parties. This Ap...      0  
98    -0.9999   JUDGMENT REPORTABLE IN THE SUPREME COURT OF I...      0  
99    -0.9999  Dr. B.S. CHAUHAN, J. 1. This appeal has been p...      0  
100   -0.9999  M. R. Shah, J. 1. Feeling aggrieved and dissat...      0  
101   -0.9965  Dr. ARIJIT PASAYAT, J. 1. Challenge in this ap...      0  
102   -0.9914   SANJAY KISHAN KAUL, J. 1. The appellants were...      0  
103   -0.9999   M.R. SHAH, J. 1. Feeling aggrieved and dissat...      0  
104   -0.9991   Printed using casemine.com by licensee : ADIT...      0  
105   -0.9994  ORIGINAL JURISDICTION: Petitions Nos. 126 and ...      0  
106   -1.0000  M.Y. EQBAL, J. This appeal by special leave is...      0  
107   -0.9996  J U D G M E N T CRIMINAL APPEAL NO 378 OF 2008...      0  
108   -0.9978  These six Special Leave Petitions (“SLPs”) by ...      0  
109   -0.9778  K.M. JOSEPH, J. Leave granted. This is yet ano...      0  
110   -0.9996  R. Subhash Reddy, J. 1. Leave granted.  2. Thi...      0  
111   -0.9988   Dr Dhananjaya Y Chandrachud, J. 1 This appeal...      0  
112   -0.9992  Dr Dhananjaya Y Chandrachud, J 1. This appeal ...      0  
113    0.9789  J U D G M E N T REPORTABLE CRIMINAL APPEAL NO ...      5  
114   -0.9999  CRIMINAL APPELLATE JURISDICTION: Criminal Appe...      0  
115   -1.0000  Dinesh Maheshwari, J. 1. These two appeals by ...      0  
116   -0.9999  R.F. NARIMAN, J. 1. Leave granted. 2. The pres...      0  
117   -0.9999  S. RAVINDRA BHAT, J. 1. The present judgment w...      0  
118   -0.7906  This Special Leave Petition is against the ord...      1  
119   -1.0000  R.K. Agrawal, J. 1) This appeal has been filed...      0  
120    0.0000  Leave granted. This appeal takes exception to ...      2  
121    0.9052  The petitioner is accused in a criminal case f...      5  
122   -1.0000  Dr. ARIJIT PASAYAT, J. 1. Death sentence award...      0  
123   -0.9999  Dr. ARIJIT PASAYAT, J. 1. Leave granted. 2. In...      0  
124   -0.9999   Dr. ARIJIT PASAYAT, J. 1. Leave granted. 2. I...      0  
125   -0.9997  Charanjit Talwar, J. (1) The appellant, Mohd. ...      0  
126   -1.0000  S. RAVINDRA BHAT, J. 1. The appellant is aggri...      0  
127   -0.9999  Dipak Misra, J. [for himself and Ashok Bhushan...      0  
128   -0.9998  R. Subhash Reddy, J. (Writ Petition (Crl.) No....      0  
129   -1.0000  Swatanter Kumar, J. 1. The present appeal is d...      0  
130    0.9984  Hon'ble Vikas Budhwar,J. 1. Heard Shri Santosh...      5  
131   -0.9996  CRIMINAL APPELLATE JURISDICTION: Criminal Appe...      0  
132   -0.9999  1. Appellant five in number, in both the appea...      0  
133   -1.0000  R. BANUMATHI, J. 6 Leave granted. 2. This appe...      0  
134   -0.9994  Dr. ARIJIT PASAYAT, J. 1. Leave granted. 2. Ch...      0  
135   -0.9999  A.K.SIKRI,J. 1. The present Special Leave Peti...      0  
136    0.9993  N.V. RAMANA, CJI. 1. Leave granted. 2. The pre...      5  
137   -0.9987  M. R. Shah, J. Leave granted. 2. Feeling   agg...      0  
138    0.9825  M.R. SHAH, J. 1. Feeling aggrieved and dissati...      5  
139   -0.8207  HON'BLE MR. JUSTICE SURESH KAIT SURESH KAIT, J...      1  
140   -0.9963   Altamas Kabir, J. 1. Leave granted. 2. Centra...      0  
141   -0.9963  Altamas Kabir, J. 1. Leave granted. 2. Central...      0  
142   -0.9971  Dr Dhananjaya Y Chandrachud, J 1 This batch of...      0  
143    0.8922  UDAY UMESH LALIT, J. 1. Leave granted. 2. This...      5  
144   -0.9988  Surya Kant, J. Appellant is aggrieved by the j...      0  
145   -1.0000  MOHAN M. SHANTANAGOUDAR, J. Signature Not Veri...      0  
146   -1.0000  S. Ratnavel Pandian, J. 1. This criminal appea...      0  
147   -0.9999  Dr. B.S. CHAUHAN, J. 1. This appeal has been f...      0  
148   -0.9975  HEMANT GUPTA, J. 1. The challenge in the prese...      0  
149   -0.9997  R. SUBHASH REDDY, J. 1. Leave granted. 2. This...      0  
150   -0.9999  Thomas, J. 1. A business of Patan (Gujarat) wa...      0  
151   -0.9999  Thomas, J. 1. A business of Patan (Gujarat) wa...      0  
152   -0.9999  Uday Umesh Lalit, J. 1. Leave granted. 2. This...      0  
153   -0.9998  BANERJEE.J L...I...T.......T.......T.......T.....      0  
154    0.5452  Dr Dhananjaya Y Chandrachud, J 1. Leave grante...      5  
155    0.9669  ASHOK BHUSHAN,J. These appeals raise an import...      5  
156   -0.9966  M.R. SHAH, J. In the light of the conflicting ...      0  
157   -0.9998  MOHAN M. SHANTANAGOUDAR, J. Leave granted. 2. ...      0  
158   -0.9269  Leave granted. The appellant is accused of com...      0  
159   -0.9999  M.R. SHAH, J. 1. Feeling aggrieved and dissati...      0  
160   -0.9337  K.G. BALAKRISHNAN, J. Leave granted. The appel...      0  
161   -0.9909  Dr Dhananjaya Y Chandrachud, J This judgment h...      0  
162    0.9535  Leave granted. The appellant is the married si...      5  
163   -0.9396  The Court is convened through Video Conferenci...      0  
164   -0.9999  Dr Dhananjaya Y Chandrachud, J Index A The App...      0  
165   -0.9999  ASHOK BHUSHAN,J. Leave granted. 2. These two a...      0  
166   -0.9996  Dalveer Bhandari, J. 1. Leave granted. 2. This...      0  
167   -0.9996  M. R. Shah, J. 1. Feeling aggrieved and dissat...      0  
168   -0.9994  Rastogi, J. 1. Leave granted. 2. The appellant...      0  
169    0.4890  Dr. Dhananjaya Y Chandrachud,J. Contents A. Th...      4  
170   -0.9999  Dinesh Maheshwari, J. Preliminary 1. By way of...      0  
171   -0.9994   Dr. B.S. CHAUHAN, J. 1. This appeal has been ...      0  
172    0.9292  R.F.NARIMAN, J. SLP (CRL.) NO. 5998 OF 2020 Le...      5  
173   -1.0000  AMITAVA ROY,J. Leave granted. A fond honeymoon...      0  
174   -0.9188  Sanjay Karol, ACJ Petitioner Rajiv Verma and r...      0  
175   -0.9994  HEMANT GUPTA, J. 1. The State and the writ pet...      0  
176   -0.9991  Dr. ARIJIT PASAYAT, J. 1. Leave granted. 2. Ch...      0  
177   -0.9989  CRIMINAL APPEAL NO. 448 OF 2001 Dr. ARIJIT PAS...      0  
178   -0.9997  The Judgments/Order of the Court were delivere...      0  
179   -0.9995  SURYA KANT, J. A civil dispute over the owners...      0  
180   -0.9971  Dr. ARIJIT PASAYAT, J. 1. Challenge in this ap...      0  
181   -0.9999  SURYA KANT, J. The Sessions Judge, Nagpur vide...      0  
182   -0.9997  Dr Dhananjaya Y Chandrachud, J 1 This batch of...      0  
183   -0.9982  Prafulla C. Pant, J. This appeal is directed a...      0  
184   -0.9959  Dr Dhananjaya Y Chandrachud 1 Leave granted. 2...      0  
185   -0.9501   ALTAMAS KABIR, J. 1. In this Special Leave Pe...      0  
186   -0.9985  S.B. SINHA, J. Leave granted. This appeal is d...      0  
187   -0.9990  (SMT.) RANJANA PRAKASH DESAI, J. 1. Leave gran...      0  
188   -0.9995  Dr. ARIJIT PASAYAT, J. 1. Leave granted. 2. Ch...      0  
189   -0.9992  Dr. ARIJIT PASAYAT, J. 1. In this appeal chall...      0  
190   -0.9998  Dipak Misra, J. The factual score from which t...      0  
191   -0.9992  ACT: Indian Penal Code 1860: Sections 300, 302...      0  
192   -0.9987  M. R. Shah, J. 1. Feeling aggrieved and dissat...      0  
193   -0.9999  J.M. PANCHAL, J. Leave granted. 2. This appeal...      0  
194   -0.9987  Mr. Amit Kumar, Adv. Mr. Md. Imteyaz Ahmad, Mr...      0  
195   -0.9575  MARKANDEY KATJU, J. 1. Leave granted. 2. This ...      0  
196   -0.9999  SANJAY KISHAN KAUL, J. 1. The incident is of 1...      0  
197   -0.1406  M.R. SHAH, J. 1. Feeling aggrieved and dissati...      2  
198   -1.0000  A. K. PATNAIK, J. This is an appeal against th...      0  
199   -0.9999  K.M. JOSEPH, J. 1. The appellants, who were ch...      0  
200    0.9624  Leave granted. We have heard the elaborate sub...      5  
201   -0.9999  HARJIT SINGH BEDI,J. This appeal arises out of...      0  
202   -0.9996  ACT: Indian Penal Code, 1860-Section 302-Convi...      0  
203   -1.0000  N. V. RAMANA, CJI. 1. The present appeals aris...      0  
204   -0.9122  We have been provided assistance both by Mr. S...      0  
205   -0.9999  P.Sathasivam,J. 1) These appeals are directed ...      0  
206   -1.0000  HEMANT GUPTA, J. 1. Criminal Appeal No. 19 of ...      0  
207   -0.9999  A. K. PATNAIK, J. This is an appeal by way of ...      0  
208   -0.9999  A. K. PATNAIK, J. This is an appeal by way of ...      0  
209   -0.9994  Dr Dhananjaya Y Chandrachud, J 1 This appeal a...      0  
210   -1.0000  ASHOK BHUSHAN,J. Leave granted. 2. This appeal...      0  
211   -0.9999  M.R. SHAH, J. 1. Feeling aggrieved and dissati...      0  
212   -1.0000  K.S. Radhakrishnan, J. 1. We are in these appe...      0  
213   -1.0000  K.S. Radhakrishnan, J. 1. We are in these appe...      0  
214   -1.0000  K.S. Radhakrishnan, J. 1. We are in these appe...      0  
215   -0.9989  T.S. THAKUR, J. 1. Leave granted. 2. This appe...      0  
216   -0.9992  Deepak Gupta, J. Leave granted. 2. “Whether an...      0  
217   -1.0000  Dr. ARIJIT PASAYAT, J. 1. Leave granted. A lar...      0  
218   -0.9999  B.R. GAVAI, J. This appeal assails the judgmen...      0  
219   -1.0000  Dr. ARIJIT PASAYAT, J. Leave granted. Challeng...      0  
220   -1.0000  DR. ANAND, J. The Executive Chairman, Legal Ai...      0  
221   -1.0000  DR. ANAND, J. The Executive Chairman, Legal Ai...      0  
222   -0.9999  L. NAGESWARA RAO, J. The Appellants in the abo...      0  
223    0.9484  Dr Dhananjaya Y Chandrachud, J 1 Leave granted...      5  
224   -1.0000  ARUN MISHRA, J. 1. The State is in appeal as a...      0  
225    0.9903  A Ahmadi ORDER A.M. Ahmadi, J. 1. The responde...      5  
226   -0.9988  THOMAS, J. Leave granted. A huge quantity of c...      0  
227   -0.9996  ARIJIT PASAYAT, J. The State of Rajasthan is i...      0  
228   -0.9996  ARIJIT PASAYAT, J. The State of Rajasthan is i...      0  
229   -0.9998  Dr. B.S. CHAUHAN, J. 1. These appeals have bee...      0  
230   -0.9938  This is an appeal against the order dated 9.5....      0  
231   -0.9999  V.D. Misra, J. (1) Kuljeet Singh @ Ranga and J...      0  
232   -0.9999  1. Accused Jassi was charge−sheeted by PS Niha...      0  
233   -0.9997  Indira Banerjee, J. Leave granted. 2. This App...      0  
234   -0.9998  SURYA KANT, J. State   of   Madhya   Pradesh (...      0  
235   -0.9798  M. R. Shah, J. 1. Feeling aggrieved and dissat...      0  
236   -0.9989  M. R. Shah, J. 1. Feeling aggrieved and dissat...      0  
237   -0.9981  M.R. SHAH, J. 1. In the facts and circumstance...      0  
238    0.9854  Dr Dhananjaya Y Chandrachud, J 1 Leave granted...      5  
239   -0.9904  The impugned order dated 06.01.2010 passed by ...      0  
240   -1.0000  S.B. SINHA, J. 1. Appellant got married with B...      0  
241   -0.9976  L. NAGESWARA RAO, J. 1. The Appellant is accus...      0  
242   -0.9991  1. Leave granted. 2. This is a criminal appeal...      0  
243   -0.9998  Rastogi, J. 1. Leave granted. 2. The appellant...      0  
244   -0.9999  Dr. B.S. CHAUHAN, J. 1. This appeal has been p...      0  
245   -0.9978  Leave granted. This appeal has been filed chal...      0  
246   -1.0000  Hrishikesh Roy, J. Leave granted. This appeal ...      0  
247   -0.9434  Heard Shri Pramod Dayal, learned counsel appea...      0  
248    0.9975  [ ARISING OUT OF S.L.P.(CRL.) 3408 OF 2007 ] 1...      5  
249   -0.9999  N. V. RAMANA, J. 1. These appeals by special l...      0  
250   -0.9960  A. Sasikanth ...Appellant Versus State of Delh...      0  
251    0.9357  The Court is convened through Video Conferenci...      5  
252   -0.9999  1.2011(2) ALD (Crl.) 830 (SC) 2.2010(1) ALD (C...      0  
253   -0.9993  SANJAY KISHAN KAUL, J. 1. Leave granted. 2. A ...      0  
254   -1.0000  ADARSH KUMAR GOEL J. 1. This appeal has been p...      0  
255   -0.9997  CRIMINAL APPELLATE JURISDICTION: criminal Appe...      0  
256   -1.0000  ABHAY S. OKA, J. Leave granted. 1. These two a...      0  
257   -0.9998  CRIMINAL APPELLATE JURISDICTION: Criminal Appe...      0  
258   -1.0000  HARJIT SINGH BEDI,J. 1. Ujjagar Singh, the app...      0  
259    0.9535  Surya Kant, J: Leave Granted. 2. The present a...      5  
260   -0.9998  ARIJIT PASAYAT, J. Three appellants filed the ...      0  
261   -0.9996  CRIMINAL APPELLATE JURISDICTION: Criminal Appe...      0  
262   -0.9999  RANJAN GOGOI, J. This appeal is directed again...      0  
263   -0.9999  Dipak Misra, J. In these two appeals, we are r...      0  
264   -0.9997  M.R. SHAH, J. 1. Feeling aggrieved and dissati...      0  
265   -1.0000  The present Criminal Appeal is filed by the ac...      0  
266   -0.9999  S.B. SINHA, J : Appellant and the deceased Mee...      0  
267   -0.9992  ARIJIT PASAYAT, J. Appellant (also described a...      0  
268   -0.6808  This petition filed under Article 32 of the Co...      1  
269    0.8910  Heard Mr. Siddharth Dave, learned senior couns...      5  
270   -1.0000  ABHAY S. OKA, J. Leave granted. FACTUAL ASPECT...      0  
271    0.9836  Surya Kant, J. Leave granted. 2. The challenge...      5  
272   -0.9987  L. NAGESWARA RAO, J. 1. These Criminal Appeals...      0  
273   -0.9832  Verma, CJI: This Writ Petition has been filed ...      0  
274   -0.9998  GITA MITTAL, J. 1. Justice to all - the accuse...      0  
275    0.9857  Rastogi, J. 1.    Leave granted. 2. Respondent...      5  
276    0.5659  Leave granted. An FIR was lodged by the respon...      5  
277   -1.0000  Lokeshwar Singh Panta, J. The appellant has fi...      0  
